wyniki wychodzace;;;;;wyniki obliczone;
liczba agentow;Gauss(bez optymalizacji);Gauss(zoptymalizowany);Gauss-Seidel;Sparse;liczba agentow;Gauss(bez optymalizacji);Gauss(zoptymalizowany);Gauss-Seidel;Sparse;Blad bezwzgledny Gauss;Blad bezwzgledny Gauss(zoptymalizowany); Blad bezwzgledny Gauss-Seidel
10;1.2542128E7;9886148.0;7.4846065E7;9.533268E7;10;-3.7551434224125445E7;3.6195458438090615E7;1.3118802745490167E8;-8.16942569431267E8;5.0093562224125445E7;2.6309310438090615E7;5.6341962454901665E7;9.12275249431267E8
11;1.994638E7;1089712.0;2.2787865E7;2.0161489E7;11;-2.449829722730109E7;3.3073637129244324E7;1.2545862651115876E8;-7.849835980827317E8;4.444467722730109E7;3.1983925129244324E7;1.0267076151115876E8;8.051450870827317E8
12;2.8130736E7;6637816.0;3.3166775E7;2209264.0;12;-1.08830780062019E7;2.9864369506411906E7;1.2039404927935548E8;-7.503613791218184E8;3.90138140062019E7;2.3226553506411906E7;8.722727427935548E7;7.525706431218184E8
13;2.6514865E7;3610155.0;3.6649336E7;6098512.0;13;3254387.9422773523;2.6609104880413618E7;1.1626844146923223E8;-7.130759125485272E8;2.3260477057722647E7;2.2998949880413618E7;7.961910546923223E7;7.191744245485272E8
14;4.6464265E7;1.1441987E7;5.5142596E7;3580997.0;14;1.790440374040989E7;2.3352480970594335E7;1.1337703692204781E8;-6.731271983628582E8;2.855986125959011E7;1.1910493970594335E7;5.823444092204781E7;6.767081953628582E8
15;5.314603E7;4605871.0;7.0467821E7;1.9105321E7;15;3.309478954922813E7;2.0142323904823605E7;1.1203615761057962E8;-6.305152365648111E8;2.005124045077187E7;1.5536452904823605E7;4.1568336610579625E7;6.496205575648111E8
16;7.4372001E7;8612452.0;6.3172461E7;4583138.0;16;4.889878801808536E7;1.7029648219495565E7;1.1258321363912348E8;-5.85240027154386E8;2.547321298191464E7;8417196.219495565;4.9410752639123484E7;5.89823165154386E8
17;1.20200638E8;1.426937E7;1.25007736E8;5456048.0;17;6.544349676418856E7;1.4068656859529028E7;1.1537670324349374E8;-5.373015701315832E8;5.475714123581144E7;200713.14047097228;9631032.756506264;5.427576181315832E8
18;1.81795132E8;1.3582225E7;8.4126439E7;7833573.0;18;8.291882788210194E7;1.131674117836741E7;1.2079621279102318E8;-4.866998654964023E8;9.887630411789806E7;2265483.82163259;3.666977379102318E7;4.945334384964023E8
19;1.33386541E8;1.1904358E7;1.01428512E8;5016992.0;19;1.015869944832209E8;8834480.93797879;1.2924241678056315E8;-4.3343491324884355E8;3.1799546516779095E7;3069877.062021211;2.7813904780563146E7;4.3845190524884355E8
20;9.5074013E7;1.0680605E7;1.46219974E8;6737099.0;20;1.2179252426521745E8;6685644.30885585;1.4113707784248343E8;-3.775067133889067E8;2.6718511265217453E7;3994960.6911441498;5082896.157516569;3.842438123889067E8
21;6.5190459E7;7743807.0;1.5159167E8;8936040.0;21;1.439728001114558E8;4937187.870015934;1.5692304673867232E8;-3.18915265916592E8;7.87823411114558E7;2806619.129984066;5331376.738672316;3.27851305916592E8
22;8.5535716E7;9026247.0;2.40894639E8;1.1705819E7;22;1.6866912772037917E8;3659256.609001018;1.7706426236253658E8;-2.576605708318994E8;8.313341172037917E7;5366990.390998982;6.383037663746342E7;2.693663898318994E8
23;1.08184219E8;1.2040735E7;2.09228495E8;1.4607588E7;23;1.9653833026486707E8;2925183.921877697;2.0204575173900148E8;-1.937426281348288E8;8.835411126486707E7;9115551.078122303;7182743.260998517;2.083502161348288E8
24;1.4011739E8;1.3610948E7;2.58336668E8;1.879017E7;24;2.2836487008156356E8;2811491.6132372096;2.3237363002451083E8;-1.2716143782538033E8;8.824748008156356E7;1.079945638676279E7;2.596303797548917E7;1.4595160782538033E8
25;1.85689664E8;1.6504619E7;2.89022962E8;2.4080884E7;25;2.650734973901764E8;3397889.8961954266;2.685751005070268E8;-5.791699990355384E7;7.938383339017639E7;1.3106729103804573E7;2.044786149297321E7;8.199788390355384E7
26;2.23240805E8;2.3636353E7;3.70049418E8;3.0582497E7;26;3.0774242604274654E8;4767277.392392889;3.111984546060302E8;1.399068563065052E7;8.450162104274654E7;1.886907560760711E7;5.8850963393969774E7;1.659181136934948E7
27;2.86086081E8;2.7096782E7;4.21947102E8;3.9343636E7;27;3.5761703630288917E8;7005741.131994709;3.608130718725202E8;8.856161877723289E7;7.153095530288917E7;2.009104086800529E7;6.113403012747979E7;4.9217982777232885E7
28;3.5026879E8;3.6355972E7;4.46049012E8;5.2989744E7;28;4.161241046550048E8;1.0202556553690672E7;4.180094199890146E8;1.6579579953619313E8;6.58553146550048E7;2.6153415446309328E7;2.8039592010985374E7;1.1280605553619313E8
29;4.24954852E8;3.5999139E7;5.58706189E8;6.0252209E7;29;4.8488656064346147E8;1.4450187504695192E7;4.833990547695497E8;2.4569322790753126E8;5.9931708643461466E7;2.1548951495304808E7;7.530713423045027E7;1.8544101890753126E8
30;5.06495548E8;3.8569385E7;6.29078132E8;7.6394908E7;30;5.657387707417476E8;1.9844286240747333E7;5.5761462015968E8;3.282539038912475E8;5.924322274174762E7;1.8725098759252667E7;7.146351184031999E7;2.518589958912475E8
31;6.38117145E8;4.6462058E7;7.06463333E8;9.2497385E7;31;6.607423492515961E8;2.648369342611076E7;6.413098482364786E8;4.1347782748734164E8;2.2625204251596093E7;1.997836457388924E7;6.515348476352143E7;3.2098044248734164E8
32;7.44717728E8;6.133418E7;8.21249598E8;1.09271154E8;32;7.722024962320791E8;3.4470438133573785E7;7.351595592085373E8;5.0136499869581366E8;2.748476823207915E7;2.6863741866426215E7;8.609003879146266E7;3.9209384469581366E8
33;8.86731406E8;7.2907998E7;9.91835065E8;1.31337372E8;33;9.026848624586724E8;4.390973784444943E7;8.398596614159666E8;5.919154175166636E8;1.5953456458672404E7;2.899826015555057E7;1.5197540358403337E8;4.6057804551666355E8
