wyniki wychodzace,,,,,wyniki obliczone,,,,,,,
liczba agentow,Gauss(bez optymalizacji),Gauss(zoptymalizowany),Gauss-Seidel,,liczba agentow,Gauss(bez optymalizacji),Gauss(zoptymalizowany),Gauss-Seidel,,Blad bezwzgledny Gauss, Blad bezwzgledny Gauss(zoptymalizowany), Blad bezwzgledny Gauss-Seidel
10,10899197,11113205,90411804,,10,-14033682.4100278,65888663.1949227,88986530.2148282,,24932879.4100278,54775458.1949227,1425273.78517181
11,13984132,3048025,31368041,,11,-2747274.24914398,60566508.1769416,87265698.7202632,,16731406.249144,57518483.1769416,55897657.7202632
12,30051719,2241206,31863539,,12,9031444.20576851,55027958.4291999,86470159.5753339,,21020274.7942315,52786752.4291999,54606620.5753339
13,28094315,4871990,41147552,,13,21282849.3867691,49327522.3169146,86856399.573844,,6811465.61323088,44455532.3169146,45708847.573844
14,49803057,11562141,68430490,,14,34019635.1917336,43523901.1564733,88700635.2629669,,15783421.8082665,31961760.1564733,20270145.2629669
15,49211392,6404366,86199897,,15,47294330.0890298,37679989.2154342,92298812.9432455,,1917061.91097024,31275623.2154342,6098915.9432455
16,100238835,10278003,71334702,,16,61207351.1582425,31862873.7125259,97966608.6685922,,39031483.8417575,21584870.7125259,26631906.6685922
17,116973357,18722354,117984197,,17,75915595.0669457,26143834.8176477,106039428.246289,,41057761.9330543,7421480.81764768,11944768.7537109
18,183418403,20181469,100607528,,18,91641565.9835237,20598345.6518693,116872407.236987,,91776837.0164763,416876.651869327,16264879.2369875
19,130548476,12998877,107126568,,19,108683040.426041,15306072.2874312,130840410.954708,,21865435.5739593,2307195.28743115,23713842.9547084
20,75955335,7999379,152134963,,20,127423269.047158,10350873.747744,148338034.466842,,51467934.0471576,2351494.74774404,3796928.53315759
21,69660356,9295535,159742493,,21,148341715.355099,5820802.00738935,169779602.59415,,78681359.3550985,3474732.99261065,10037109.5941496
22,87949712,9117781,241828843,,22,172025331.370665,1808101.9921191,195599169.91076,,84075619.3706647,7309679.0078809,46229673.0892405
23,111144965,11889153,223996154,,23,199180370.220297,-1590788.42114427,226250520.744171,,88035405.220297,13479941.4211443,2254366.7441712
24,161657491,18908961,311882710,,24,230644735.665186,-4275238.40430769,262207169.175253,,68987244.6651863,23184199.4043077,49675540.8247466
25,199547142,19876778,337714586,,25,267400868.566433,-6140424.1781076,303962359.038244,,67853726.5664331,26017202.1781076,33752226.9617558
26,305215423,25360786,412377406,,26,310589170.286254,-7077329.01210985,352029063.920751,,5373747.28625429,32438115.0121098,60348342.0792487
27,423653156,53892412,450453481,,27,361521963.025239,-6972743.22470981,406939987.163752,,62131192.974761,60865155.2247098,43513493.836248
28,362075160,31342880,488708184,,28,421697987.095652,-5709264.18313223,469247561.861593,,59622827.0956523,37052144.1831322,19460622.1384071
29,486429869,47520153,542867449,,29,492817435.130788,-3165296.30343139,539523950.86199,,6387566.13078785,50685449.3034314,3343498.13800979
30,540696181,41838086,748670489,,30,576797523.230368,784948.949509025,618361046.76603,,36101342.2303677,41053137.050491,130309442.23397
31,696952178,47386195,729782970,,31,675788599.041992,6271453.06197587,706370471.928167,,21163578.9580083,41114741.9380241,23412498.0718327
32,779199906,56390582,795771301,,32,792190786.778634,13428390.4714265,804183578.456227,,12990880.7786338,42962191.5285735,8412277.45622718
33,912437958,61896003,901770612,,33,928671169.172189,22394128.5664888,912451448.211404,,16233211.1721889,39501874.4335112,10680836.2114041
34,1082368086,98743807,1038866148,,34,1088181506.36306,33311227.6869614,1031844892.80826,,5813420.36306381,65432579.3130386,7021255.19173861
35,1260983609,98624071,1136347782,,35,1273976491.72582,46326441.1238132,1163054453.61473,,12992882.7258225,52297629.8761868,26706671.6147332
36,1492244940,109476310,1392381425,,36,1489632544.63087,61590715.1191836,1306790401.75212,,2612395.3691268,47885594.8808164,85591023.2478781
37,1767496923,123727097,1415420774,,37,1739067140.14221,79259188.866383,1463782738.0951,,28429782.8577902,44467908.133617,48361964.0951002
38,2146203715,116015179,1612856545,,38,2026558675.6512,99491194.5098919,1634781193.27171,,119645039.348804,16523984.4901081,21924648.2717102
39,2333436223,172101674,1963583152,,39,2356766874.4464,122450257.145361,1820555227.66336,,23330651.4464035,49651416.8546385,143027924.336637
40,2844197799,179333942,1961192955,,40,2734753726.21949,148304094.819614,2021894031.40484,,109444072.78051,31029847.1803865,60701076.4048407
41,3333386309,166345992,2307166645,,41,3166004964.50714,177224618.53064,2239606524.38429,,167381344.492862,10878626.5306402,67560120.6157074
42,3696944047,209841834,2438201948,,42,3656452081.06903,209387932.227604,2474521356.24324,,40491965.9309697,453901.772395611,36319408.2432399
43,4175938664,202493740,2704265654,,43,4212494877.20188,244974332.81084,2727486906.37657,,36556213.2018785,42480592.8108395,23221252.3765712
44,4862691431,271868692,2987201595,,44,4841024551.9895,284168310.131849,2999371283.93255,,21666879.0105,12299618.1318493,12169688.9325461
45,5875308659,257184886,3107939051,,45,5549447327.48894,327158546.993308,3291062327.81279,,325861331.511057,69973660.9933084,183123276.812794
46,6354973605,324200864,3436110662,,46,6345708610.85266,374137919.149062,3603467606.67231,,9264994.14733696,49937055.1490617,167356944.672312
