n;Gauss;zoptymalizowany Gauss;Gauss-Seidel;Sparse;czas z Wielomianu - czas wyliczony
10;1974707.7999999996;316537.1999999997;1.0691561E7;-3199.0999999999767;
11;2275670.5;486257.9000000001;1.39606407E7;1590.5999999999913;
12;5653616.1;1038440.4;1.8903595E7;1628.899999999965;
13;5579666.9;1429197.7;2.56993552E7;21423.199999999983;
14;7615710.9;1016786.3;3.20137698E7;94.39999999999418;
15;1.10199821E7;1368898.4;4.1288679E7;978.2000000000116;
16;1.80339403E7;1710605.5;5.41487754E7;1050.3999999999942;
17;2.06430982E7;2236944.3;6.82607108E7;149.39999999990687;
18;3.21287308E7;2731747.7;8.0676592E7;1480.5;
19;4.2489773E7;3587341.6;1.058951743E8;-13996.5;
20;5.03768531E7;4832469.7;1.387654473E8;15931.79999999993;
