;n;Gauss;Gauss(upgraded);GaussSeidel;Sparse; ;n;Gauss;Gauss(upgraded);GaussSeidel;Sparse;
dzialanie;10;8538448.0;2279425.0;1.01067268E8;0.0;budowanie;10;5126049.0;705358.0;2357404.0;86.0;
dzialanie;11;2.106121E7;1824851.0;3.2768216E7;0.0;budowanie;11;360817.0;321526.0;855236.0;87.0;
dzialanie;12;3.990604E7;2172380.0;2.8860085E7;0.0;budowanie;12;329926.0;387639.0;766911.0;48.0;
dzialanie;13;4.1976925E7;2833470.0;3.4992715E7;0.0;budowanie;13;194499.0;181202.0;354252.0;47.0;
dzialanie;14;5.0454254E7;3510029.0;6.019814E7;0.0;budowanie;14;326421.0;329163.0;1029236.0;82.0;
dzialanie;15;7.0165684E7;7350450.0;7.7402996E7;0.0;budowanie;15;448502.0;415178.0;544241.0;59.0;
dzialanie;16;1.02668979E8;8896050.0;8.5892038E7;0.0;budowanie;16;784894.0;533975.0;1143827.0;53.0;
dzialanie;17;1.41557532E8;1.3252268E7;1.39549229E8;0.0;budowanie;17;461794.0;675125.0;1612847.0;44.0;
dzialanie;18;1.92122933E8;2.094705E7;1.51860651E8;0.0;budowanie;18;976063.0;993093.0;2260439.0;64.0;
dzialanie;19;1.60661851E8;1.3729963E7;1.19164488E8;0.0;budowanie;19;1004857.0;581211.0;1059806.0;45.0;
dzialanie;20;8.8335732E7;8222445.0;1.68163143E8;0.0;budowanie;20;649048.0;976947.0;2019054.0;70.0;
dzialanie;21;8.0122756E7;8474507.0;1.79029842E8;0.0;budowanie;21;994969.0;798697.0;1822755.0;35.0;
dzialanie;22;1.0443185E8;8327617.0;2.71035055E8;0.0;budowanie;22;899554.0;1092202.0;1825943.0;64.0;
dzialanie;23;1.27067373E8;1.3607377E7;2.44857866E8;0.0;budowanie;23;1284232.0;1184844.0;2217194.0;32.0;
dzialanie;24;1.64068888E8;1.4847782E7;3.06820841E8;0.0;budowanie;24;1336062.0;1455815.0;2634615.0;33.0;
dzialanie;25;2.13396078E8;1.9100142E7;3.18790738E8;0.0;budowanie;25;2059361.0;2336040.0;4419235.0;51.0;
dzialanie;26;2.48358339E8;2.8583172E7;3.75669951E8;0.0;budowanie;26;2237552.0;1615512.0;3304340.0;32.0;
dzialanie;27;3.17338159E8;2.5518089E7;4.77450759E8;0.0;budowanie;27;1916682.0;1812097.0;3865889.0;35.0;
dzialanie;28;4.08116064E8;3.0501256E7;5.14758815E8;0.0;budowanie;28;2698565.0;2273684.0;5013273.0;35.0;
dzialanie;29;4.82094242E8;4.1910697E7;6.25761951E8;0.0;budowanie;29;3609445.0;2734695.0;8375212.0;34.0;
