;n;Gauss;Gauss(upgraded);GaussSeidel;Sparse; ;n;Gauss;Gauss(upgraded);GaussSeidel;Sparse;
dzialanie;10;2.1762069E7;7689787.0;9.4806101E7;3506076.0;budowanie;10;7448220.0;609630.0;1.3040406E7;8.1328001E7;
dzialanie;11;1.4792518E7;2206072.0;2.5351553E7;338051.0;budowanie;11;291153.0;2542535.0;378747.0;2.1177355E7;
dzialanie;12;2.7199714E7;7167790.0;5.3762719E7;429629.0;budowanie;12;325631.0;329211.0;3625123.0;5.0273062E7;
dzialanie;13;2.7858825E7;6266297.0;7.0557054E7;601394.0;budowanie;13;497486.0;301743.0;595665.0;4.8149206E7;
dzialanie;14;7.2061745E7;2.5841408E7;8.873548E7;750030.0;budowanie;14;351181.0;598892.0;2665629.0;6.7661709E7;
dzialanie;15;6.648221E7;5005838.0;5.6056376E7;546239.0;budowanie;15;447490.0;268597.0;922140.0;8.9503504E7;
dzialanie;16;9.1797145E7;1.3572654E7;8.630869E7;1229949.0;budowanie;16;540889.0;568952.0;1085151.0;1.35688847E8;
dzialanie;17;8.5142517E7;8831540.0;8.178667E7;852136.0;budowanie;17;709271.0;372908.0;768495.0;1.70273547E8;
dzialanie;18;1.06649357E8;1.3528734E7;7.4232997E7;1081279.0;budowanie;18;654208.0;666110.0;999729.0;2.64117509E8;
dzialanie;19;1.30806349E8;1.3494655E7;9.0186411E7;277899.0;budowanie;19;562665.0;552717.0;1067577.0;4.01425984E8;
dzialanie;20;1.03821335E8;5800863.0;1.28976803E8;529496.0;budowanie;20;756362.0;807528.0;1433195.0;6.14102448E8;
dzialanie;21;7.3546819E7;6832025.0;1.43669805E8;327935.0;budowanie;21;1402721.0;777284.0;1524334.0;8.93463228E8;
dzialanie;22;8.9322009E7;1.0501542E7;1.66216206E8;93395.0;budowanie;22;1647808.0;1079669.0;1790904.0;1.280143321E9;
dzialanie;23;1.06115097E8;1.524632E7;2.3560489E8;107325.0;budowanie;23;1025266.0;1058975.0;2093801.0;1.81732216E9;
dzialanie;24;1.41425942E8;1.4602968E7;2.63669561E8;126064.0;budowanie;24;1210790.0;1212819.0;3225949.0;2.517781453E9;
dzialanie;25;1.85864295E8;1.7894174E7;2.88441903E8;159757.0;budowanie;25;1395026.0;1552203.0;4096282.0;3.437115457E9;
dzialanie;26;2.38746814E8;2.2256889E7;3.3632421E8;178925.0;budowanie;26;1603928.0;1561094.0;3101498.0;4.651411343E9;
dzialanie;27;2.79857098E8;2.4956873E7;4.13336443E8;208985.0;budowanie;27;1837862.0;1870001.0;3594271.0;6.275226735E9;
